gene_symbol,GO_term
CTNNB1,positive regulation of telomerase activity
CTNNB1,positive regulation of telomere maintenance via telomerase
CTNNB1,positive regulation of transcription by RNA polymerase II
CTNNB1,positive regulation of transcription by RNA polymerase II
CTNNB1,positive regulation of transcription by RNA polymerase II
CTNNB1,positive regulation of transcription by RNA polymerase II
CTNNB1,positive regulation of transcription by RNA polymerase II
CTNNB1,positive regulation of transcription elongation from RNA polymerase II promoter
CTNNB1,"positive regulation of transcription, DNA-templated"
CTNNB1,"positive regulation of transcription, DNA-templated"
CTNNB1,positive regulation of type I interferon production
CTNNB1,postsynaptic membrane
CTNNB1,presynaptic active zone cytoplasmic component
CTNNB1,presynaptic membrane
CTNNB1,proteasome-mediated ubiquitin-dependent protein catabolic process
CTNNB1,protein C-terminus binding
CTNNB1,protein binding
CTNNB1,protein kinase binding
CTNNB1,protein localization to cell surface
CTNNB1,protein phosphatase binding
CTNNB1,protein phosphatase binding
CTNNB1,protein polyubiquitination
CTNNB1,protein-DNA complex
CTNNB1,protein-containing complex
CTNNB1,proximal/distal pattern formation
CTNNB1,regulation of T cell proliferation
CTNNB1,regulation of angiogenesis
CTNNB1,regulation of calcium ion import
CTNNB1,regulation of canonical Wnt signaling pathway
CTNNB1,regulation of centriole-centriole cohesion
CTNNB1,regulation of centromeric sister chromatid cohesion
CTNNB1,regulation of euchromatin binding
CTNNB1,regulation of fibroblast proliferation
CTNNB1,regulation of myelination
CTNNB1,regulation of nephron tubule epithelial cell differentiation
CTNNB1,regulation of neurogenesis
CTNNB1,regulation of protein localization to cell surface
CTNNB1,regulation of secondary heart field cardioblast proliferation
CTNNB1,regulation of smooth muscle cell proliferation
CTNNB1,regulation of timing of anagen
CTNNB1,renal inner medulla development
CTNNB1,renal outer medulla development
CTNNB1,renal vesicle formation
CTNNB1,repressing transcription factor binding
CTNNB1,response to drug
CTNNB1,response to estradiol
CTNNB1,smooth muscle cell differentiation
CTNNB1,spindle pole
CTNNB1,stem cell population maintenance
CTNNB1,sympathetic ganglion development
CTNNB1,synapse
CTNNB1,synapse organization
CTNNB1,synaptic vesicle clustering
CTNNB1,synaptic vesicle transport
CTNNB1,thymus development
CTNNB1,trachea formation
CTNNB1,transcription coactivator activity
CTNNB1,transcription coactivator activity
CTNNB1,transcription coactivator activity
CTNNB1,transcription factor binding
CTNNB1,transcription factor binding
CTNNB1,transcription regulator complex
CTNNB1,viral process
CTNND2,Wnt signaling pathway
CTNND2,adherens junction
CTNND2,beta-catenin binding
CTNND2,cadherin binding
CTNND2,cell adhesion
CTNND2,cell-cell adhesion
CTNND2,cell-cell junction assembly
CTNND2,cytoplasm
CTNND2,dendrite
CTNND2,dendritic spine morphogenesis
CTNND2,dendritic spine morphogenesis
CTNND2,nucleus
CTNND2,perikaryon
CTNND2,plasma membrane
CTNND2,postsynaptic density
CTNND2,protein binding
CTNND2,regulation of canonical Wnt signaling pathway
CTNND2,signal transduction
CTNND2,synapse organization
CTTNBP2,SH3 domain binding
CTTNBP2,brain development
CTTNBP2,cell cortex
CTTNBP2,dendritic spine
CTTNBP2,glutamatergic synapse
CTTNBP2,protein binding
CTTNBP2,regulation of synapse organization
CTTNBP2,synaptic vesicle
CUL3,COPII vesicle coating
CUL3,Cul3-RING ubiquitin ligase complex
CUL3,G1/S transition of mitotic cell cycle
CUL3,Golgi membrane
CUL3,MAPK cascade
CUL3,Notch binding
CUL3,POZ domain binding
CUL3,Wnt signaling pathway
CUL3,anaphase-promoting complex-dependent catabolic process
CUL3,cell migration
CUL3,cell projection organization
CUL3,centrosome
CUL3,cullin-RING ubiquitin ligase complex
CUL3,cyclin binding
CUL3,cytoplasm
CUL3,cytosol
CUL3,embryonic cleavage
CUL3,endoplasmic reticulum to Golgi vesicle-mediated transport
CUL3,extracellular exosome
CUL3,fibroblast apoptotic process
CUL3,gastrulation
CUL3,integrin-mediated signaling pathway
CUL3,intrinsic apoptotic signaling pathway
CUL3,liver morphogenesis
CUL3,membrane
CUL3,mitotic metaphase plate congression
CUL3,mitotic spindle
CUL3,negative regulation of Rho protein signal transduction
CUL3,negative regulation of canonical Wnt signaling pathway
CUL3,negative regulation of transcription by RNA polymerase II
CUL3,nuclear protein quality control by the ubiquitin-proteasome system
CUL3,nucleoplasm
CUL3,nucleus
CUL3,plasma membrane
CUL3,polar microtubule
CUL3,positive regulation of cell population proliferation
CUL3,positive regulation of cytokinesis
CUL3,positive regulation of mitotic cell cycle phase transition
CUL3,positive regulation of mitotic metaphase/anaphase transition
CUL3,positive regulation of protein ubiquitination
CUL3,post-translational protein modification
CUL3,proteasome-mediated ubiquitin-dependent protein catabolic process
CUL3,protein autoubiquitination
CUL3,protein binding
CUL3,protein destabilization
CUL3,protein monoubiquitination
CUL3,protein polyubiquitination
CUL3,protein ubiquitination
CUL3,protein ubiquitination
CUL3,sperm flagellum
CUL3,spindle pole
CUL3,stem cell division
CUL3,stress fiber assembly
CUL3,trophectodermal cellular morphogenesis
CUL3,ubiquitin protein ligase activity
CUL3,ubiquitin protein ligase binding
CUL3,ubiquitin protein ligase binding
CUL3,ubiquitin-dependent protein catabolic process
CUL3,ubiquitin-protein transferase activity
CUL7,3M complex
CUL7,Cul7-RING ubiquitin ligase complex
CUL7,Golgi apparatus
CUL7,Golgi apparatus
CUL7,Golgi organization
CUL7,IRE1-mediated unfolded protein response
CUL7,anaphase-promoting complex
CUL7,centrosome
CUL7,cullin-RING ubiquitin ligase complex
CUL7,cytoplasm
CUL7,cytosol
CUL7,epithelial to mesenchymal transition
CUL7,microtubule cytoskeleton organization
CUL7,mitotic cytokinesis
CUL7,perinuclear region of cytoplasm
CUL7,placenta development
CUL7,positive regulation of dendrite morphogenesis
CUL7,positive regulation of dendrite morphogenesis
CUL7,post-translational protein modification
CUL7,protein binding
CUL7,protein ubiquitination
CUL7,protein ubiquitination
CUL7,protein ubiquitination
CUL7,protein ubiquitination
CUL7,proteolysis
CUL7,regulation of mitotic nuclear division
CUL7,regulation of mitotic nuclear division
CUL7,ubiquitin protein ligase binding
CUL7,ubiquitin-dependent protein catabolic process
CUL7,vasculogenesis
CUL7,viral process
CUX1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
CUX1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
CUX1,Golgi apparatus
CUX1,RNA polymerase II transcription regulatory region sequence-specific DNA binding
CUX1,RNA polymerase II transcription regulatory region sequence-specific DNA binding
CUX1,chromatin
CUX1,cytosol
CUX1,multicellular organism development
CUX1,nucleoplasm
CUX1,nucleus
CUX1,nucleus
CUX1,positive regulation of dendrite morphogenesis
CUX1,protein-macromolecule adaptor activity
CUX1,regulation of transcription by RNA polymerase II
CUX1,regulation of transcription by RNA polymerase II
CUX1,"retrograde transport, vesicle recycling within Golgi"
CUX1,sequence-specific DNA binding
CUX1,sequence-specific double-stranded DNA binding
CUX2,"DNA-binding transcription factor activity, RNA polymerase II-specific"
CUX2,"DNA-binding transcription factor activity, RNA polymerase II-specific"
CUX2,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
CUX2,RNA polymerase II cis-regulatory region sequence-specific DNA binding
CUX2,RNA polymerase II transcription regulatory region sequence-specific DNA binding
CUX2,RNA polymerase II transcription regulatory region sequence-specific DNA binding
CUX2,cellular response to organic substance
CUX2,chromatin
CUX2,cognition
CUX2,extracellular exosome
CUX2,negative regulation of transcription by RNA polymerase II
CUX2,nucleus
CUX2,nucleus
CUX2,positive regulation of dendrite morphogenesis
CUX2,positive regulation of dendritic spine morphogenesis
CUX2,positive regulation of excitatory postsynaptic potential
CUX2,positive regulation of gene expression
CUX2,positive regulation of synapse assembly
CUX2,regulation of transcription by RNA polymerase II
CUX2,sequence-specific DNA binding
CUX2,sequence-specific double-stranded DNA binding
CUX2,short-term memory
CX3CR1,C-C chemokine binding
CX3CR1,C-C chemokine receptor activity
CX3CR1,C-X3-C chemokine binding
CX3CR1,C-X3-C chemokine binding
CX3CR1,C-X3-C chemokine receptor activity
CX3CR1,G protein-coupled peptide receptor activity
CX3CR1,G protein-coupled receptor activity
CX3CR1,G protein-coupled receptor signaling pathway
CX3CR1,autocrine signaling
CX3CR1,calcium-mediated signaling
CX3CR1,cell adhesion
CX3CR1,cell chemotaxis
CX3CR1,cell surface
CX3CR1,cell surface
CX3CR1,cell surface
CX3CR1,cell-cell signaling
CX3CR1,cellular defense response
CX3CR1,cellular response to lipopolysaccharide
CX3CR1,cellular response to transforming growth factor beta stimulus
CX3CR1,central nervous system maturation
CX3CR1,chemokine receptor activity
CX3CR1,chemokine-mediated signaling pathway
CX3CR1,chemotaxis
CX3CR1,dendritic tree
CX3CR1,external side of plasma membrane
CX3CR1,immune response
CX3CR1,innate immune response
CX3CR1,integral component of plasma membrane
CX3CR1,leukocyte tethering or rolling
CX3CR1,memory
CX3CR1,modulation of chemical synaptic transmission
CX3CR1,"multiple spine synapse organization, single dendrite"
CX3CR1,negative regulation of angiogenesis
CX3CR1,negative regulation of apoptotic signaling pathway
CX3CR1,negative regulation of cell migration
CX3CR1,negative regulation of hippocampal neuron apoptotic process
CX3CR1,negative regulation of interleukin-1 beta production
CX3CR1,negative regulation of long-term synaptic potentiation
CX3CR1,neuron projection
CX3CR1,neuronal cell body membrane
CX3CR1,perinuclear region of cytoplasm
CX3CR1,phospholipase C-activating G protein-coupled receptor signaling pathway
CX3CR1,plasma membrane
CX3CR1,positive regulation of I-kappaB phosphorylation
CX3CR1,positive regulation of NF-kappaB transcription factor activity
CX3CR1,positive regulation of angiogenesis
CX3CR1,positive regulation of cytosolic calcium ion concentration
CX3CR1,positive regulation of microglial cell migration
CX3CR1,positive regulation of neuroblast proliferation
CX3CR1,positive regulation of neurogenesis
CX3CR1,positive regulation of protein kinase B signaling
CX3CR1,protein binding
CX3CR1,regulation of microglial cell migration
CX3CR1,regulation of neurogenesis
CX3CR1,regulation of nitric oxide biosynthetic process
CX3CR1,regulation of synaptic plasticity
CX3CR1,regulation of tumor necrosis factor production
CX3CR1,response to ischemia
CX3CR1,response to wounding
CX3CR1,social behavior
CX3CR1,synapse maturation
CX3CR1,synapse pruning
CX3CR1,viral process
CYFIP1,Fc-gamma receptor signaling pathway involved in phagocytosis
CYFIP1,RNA 7-methylguanosine cap binding
CYFIP1,Rac protein signal transduction
CYFIP1,SCAR complex
CYFIP1,SCAR complex
CYFIP1,actin filament binding
CYFIP1,axon extension
CYFIP1,axon guidance
CYFIP1,axonal growth cone
CYFIP1,cell morphogenesis
CYFIP1,cell projection assembly
CYFIP1,cellular response to insulin stimulus
CYFIP1,central region of growth cone
CYFIP1,cognition
CYFIP1,cytosol
CYFIP1,dendrite extension
CYFIP1,dendritic growth cone
CYFIP1,dendritic spine
CYFIP1,excitatory synapse
CYFIP1,extracellular exosome
CYFIP1,extracellular region
CYFIP1,filopodium tip
CYFIP1,focal adhesion
CYFIP1,lamellipodium
CYFIP1,lamellipodium assembly
CYFIP1,lamellipodium assembly
CYFIP1,mRNA cap binding complex
CYFIP1,modification of synaptic structure
CYFIP1,negative regulation of synaptic vesicle recycling
CYFIP1,neuron projection
CYFIP1,neuron projection
CYFIP1,neuronal cell body
CYFIP1,neutrophil degranulation
CYFIP1,perinuclear region of cytoplasm
CYFIP1,peripheral region of growth cone
CYFIP1,positive regulation of Arp2/3 complex-mediated actin nucleation
CYFIP1,positive regulation of axon extension
CYFIP1,positive regulation of dendrite development
CYFIP1,positive regulation of neurotrophin TRK receptor signaling pathway
CYFIP1,positive regulation of ruffle assembly
CYFIP1,protein binding
CYFIP1,regulation of cell shape
CYFIP1,regulation of modification of postsynaptic actin cytoskeleton
CYFIP1,regulation of myelination
CYFIP1,regulation of translation
CYFIP1,response to electrical stimulus
CYFIP1,ruffle
CYFIP1,ruffle organization
CYFIP1,secretory granule lumen
CYFIP1,small GTPase binding
CYFIP1,small GTPase binding
CYFIP1,specific granule lumen
CYFIP1,synapse
CYFIP1,terminal bouton
CYFIP1,tertiary granule lumen
CYFIP1,vascular endothelial growth factor receptor signaling pathway
CYLC2,cell differentiation
CYLC2,cytoskeletal calyx
CYLC2,cytoskeleton organization
CYLC2,multicellular organism development
CYLC2,nucleus
CYLC2,spermatogenesis
CYLC2,structural constituent of cytoskeleton
CYP11B1,C21-steroid hormone biosynthetic process
CYP11B1,C21-steroid hormone biosynthetic process
CYP11B1,aldosterone biosynthetic process
CYP11B1,aldosterone biosynthetic process
CYP11B1,aldosterone biosynthetic process
CYP11B1,cellular response to hormone stimulus
CYP11B1,cellular response to peptide hormone stimulus
CYP11B1,cellular response to potassium ion
CYP11B1,cholesterol metabolic process
CYP11B1,corticosterone 18-monooxygenase activity
CYP11B1,cortisol biosynthetic process
CYP11B1,cortisol biosynthetic process
CYP11B1,cortisol metabolic process
CYP11B1,glucocorticoid biosynthetic process
CYP11B1,glucocorticoid biosynthetic process
CYP11B1,glucose homeostasis
CYP11B1,heme binding
CYP11B1,immune response
CYP11B1,iron ion binding
CYP11B1,mitochondrial inner membrane
CYP11B1,mitochondrial inner membrane
CYP11B1,mitochondrial inner membrane
CYP11B1,mitochondrion
CYP11B1,oxidation-reduction process
CYP11B1,regulation of blood pressure
CYP11B1,steroid 11-beta-monooxygenase activity
CYP11B1,steroid 11-beta-monooxygenase activity
CYP11B1,steroid 11-beta-monooxygenase activity
CYP11B1,sterol metabolic process
CYP27A1,bile acid biosynthetic process
CYP27A1,bile acid biosynthetic process
CYP27A1,bile acid biosynthetic process
CYP27A1,calcitriol biosynthetic process from calciol
CYP27A1,calcitriol biosynthetic process from calciol
CYP27A1,cholestanetriol 26-monooxygenase activity
CYP27A1,cholesterol 26-hydroxylase activity
CYP27A1,cholesterol 26-hydroxylase activity
CYP27A1,cholesterol catabolic process
CYP27A1,cholesterol catabolic process
CYP27A1,cholesterol metabolic process
CYP27A1,heme binding
CYP27A1,iron ion binding
CYP27A1,mitochondrial inner membrane
CYP27A1,mitochondrial matrix
CYP27A1,mitochondrion
CYP27A1,mitochondrion
CYP27A1,oxidation-reduction process
CYP27A1,steroid hydroxylase activity
CYP27A1,sterol metabolic process
CYP27A1,vitamin D3 25-hydroxylase activity
CYP27A1,vitamin D3 25-hydroxylase activity
DAGLA,G protein-coupled glutamate receptor signaling pathway
DAGLA,arachidonic acid metabolic process
DAGLA,dendrite membrane
DAGLA,dendritic spine membrane
DAGLA,diacylglycerol catabolic process
DAGLA,diacylglycerol catabolic process
DAGLA,early endosome membrane
DAGLA,endocannabinoid signaling pathway
DAGLA,hydrolase activity
DAGLA,integral component of postsynaptic membrane
DAGLA,metal ion binding
DAGLA,neuroblast proliferation
DAGLA,neurogenesis
DAGLA,neurotransmitter biosynthetic process
DAGLA,neurotransmitter biosynthetic process
DAGLA,plasma membrane
DAGLA,postsynaptic density membrane
DAGLA,postsynaptic membrane
DAGLA,protein binding
DAGLA,regulation of neuroinflammatory response
DAGLA,retrograde trans-synaptic signaling by endocannabinoid
DAGLA,retrograde trans-synaptic signaling by endocannabinoid
DAGLA,retrograde trans-synaptic signaling by endocannabinoid
DAGLA,varicosity
DAPP1,cytosol
DAPP1,"phosphatidylinositol-3,4,5-trisphosphate binding"
DAPP1,"phosphatidylinositol-3,4-bisphosphate binding"
DAPP1,phospholipid binding
DAPP1,plasma membrane
DAPP1,plasma membrane
DAPP1,protein binding
DAPP1,protein dephosphorylation
DAPP1,signal transduction
DCC,Schaffer collateral - CA1 synapse
DCC,anterior/posterior axon guidance
DCC,apoptotic process
DCC,axon
DCC,axon guidance
DCC,axonogenesis
DCC,cytosol
DCC,dorsal/ventral axon guidance
DCC,extrinsic apoptotic signaling pathway in absence of ligand
DCC,integral component of postsynaptic density membrane
DCC,negative regulation of collateral sprouting
DCC,negative regulation of dendrite development
DCC,negative regulation of netrin-activated signaling pathway
DCC,negative regulation of neuron projection development
DCC,netrin receptor activity
DCC,netrin-activated signaling pathway
DCC,neuron migration
DCC,plasma membrane
DCC,postsynaptic modulation of chemical synaptic transmission
DCC,protein binding
DCC,regulation of neuron death
DCC,spinal cord ventral commissure morphogenesis
DCC,transmembrane signaling receptor activity
DDC,L-dopa decarboxylase activity
DDC,aminergic neurotransmitter loading into synaptic vesicle
DDC,amino acid binding
DDC,aromatic-L-amino-acid decarboxylase activity
DDC,aromatic-L-amino-acid decarboxylase activity
DDC,axon
DDC,carboxy-lyase activity
DDC,catecholamine biosynthetic process
DDC,catecholamine metabolic process
DDC,cellular amino acid metabolic process
DDC,cellular response to alkaloid
DDC,cellular response to drug
DDC,cellular response to growth factor stimulus
DDC,circadian rhythm
DDC,cytoplasm
DDC,cytosol
DDC,dopamine biosynthetic process
DDC,enzyme binding
DDC,extracellular exosome
DDC,indolalkylamine biosynthetic process
DDC,isoquinoline alkaloid metabolic process
DDC,multicellular organism aging
DDC,neuronal cell body
DDC,phytoalexin metabolic process
DDC,protein binding
DDC,protein domain specific binding
DDC,pyridoxal phosphate binding
DDC,response to pyrethroid
DDC,serotonin biosynthetic process
DDC,synaptic vesicle
DDHD2,COPII-coated ER to Golgi transport vesicle
DDHD2,Golgi apparatus
DDHD2,centriolar satellite
DDHD2,cytoplasm
DDHD2,cytosol
DDHD2,cytosol
DDHD2,endoplasmic reticulum-Golgi intermediate compartment
DDHD2,lipid droplet organization
DDHD2,locomotory behavior
DDHD2,membrane
DDHD2,metal ion binding
DDHD2,phosphatidic acid biosynthetic process
DDHD2,phospholipase activity
DDHD2,positive regulation of mitochondrial fission
DDHD2,triglyceride catabolic process
DDHD2,triglyceride lipase activity
DDHD2,visual learning
DDX3X,ATP binding
DDX3X,ATPase activity
DDX3X,CTPase activity
DDX3X,DNA binding
DDX3X,DNA duplex unwinding
DDX3X,DNA helicase activity
DDX3X,GTPase activity
DDX3X,NLRP3 inflammasome complex
DDX3X,P granule
DDX3X,RNA binding
DDX3X,RNA binding
DDX3X,RNA binding
DDX3X,RNA helicase activity
DDX3X,RNA helicase activity
DDX3X,RNA secondary structure unwinding
DDX3X,RNA stem-loop binding
DDX3X,RNA strand annealing activity
DDX3X,Wnt signaling pathway
DDX3X,cadherin binding
DDX3X,cell differentiation
DDX3X,cell leading edge
DDX3X,cellular response to arsenic-containing substance
DDX3X,cellular response to osmotic stress
DDX3X,cellular response to virus
DDX3X,centrosome
DDX3X,chromosome segregation
DDX3X,cytoplasm
DDX3X,cytoplasm
DDX3X,cytoplasmic stress granule
DDX3X,cytosol
DDX3X,cytosolic small ribosomal subunit
DDX3X,eukaryotic initiation factor 4E binding
DDX3X,eukaryotic translation initiation factor 3 complex
DDX3X,extracellular exosome
DDX3X,extracellular region
DDX3X,extrinsic apoptotic signaling pathway via death domain receptors
DDX3X,ficolin-1-rich granule lumen
DDX3X,gamete generation
DDX3X,gamma-tubulin binding
DDX3X,innate immune response
DDX3X,intracellular signal transduction
DDX3X,intrinsic apoptotic signaling pathway
DDX3X,lamellipodium
DDX3X,lipid homeostasis
DDX3X,mRNA 5'-UTR binding
DDX3X,mRNA binding
DDX3X,mature ribosome assembly
DDX3X,negative regulation of NIK/NF-kappaB signaling
DDX3X,negative regulation of apoptotic process
DDX3X,negative regulation of cell growth
DDX3X,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
DDX3X,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
DDX3X,negative regulation of intrinsic apoptotic signaling pathway
DDX3X,negative regulation of protein-containing complex assembly
DDX3X,negative regulation of translation
DDX3X,neutrophil degranulation
DDX3X,nucleoplasm
DDX3X,nucleoside-triphosphatase activity
DDX3X,nucleus
DDX3X,nucleus
DDX3X,plasma membrane
DDX3X,poly(A) binding
DDX3X,positive regulation of G1/S transition of mitotic cell cycle
DDX3X,positive regulation of NIK/NF-kappaB signaling
DDX3X,positive regulation of NLRP3 inflammasome complex assembly
DDX3X,positive regulation of apoptotic process
DDX3X,positive regulation of canonical Wnt signaling pathway
DDX3X,positive regulation of cell growth
DDX3X,positive regulation of chemokine (C-C motif) ligand 5 production
DDX3X,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
DDX3X,positive regulation of gene expression
DDX3X,positive regulation of interferon-alpha production
DDX3X,positive regulation of interferon-beta production
DDX3X,positive regulation of interferon-beta production
DDX3X,positive regulation of protein K63-linked ubiquitination
DDX3X,positive regulation of protein acetylation
DDX3X,positive regulation of protein autophosphorylation
DDX3X,positive regulation of protein serine/threonine kinase activity
DDX3X,positive regulation of toll-like receptor 7 signaling pathway
DDX3X,positive regulation of toll-like receptor 8 signaling pathway
DDX3X,positive regulation of transcription by RNA polymerase II
DDX3X,positive regulation of transcription by RNA polymerase II
DDX3X,positive regulation of translation
DDX3X,positive regulation of translation
DDX3X,positive regulation of translation in response to endoplasmic reticulum stress
DDX3X,positive regulation of translational initiation
DDX3X,positive regulation of viral genome replication
DDX3X,protein binding
DDX3X,protein localization to cytoplasmic stress granule
DDX3X,protein serine/threonine kinase activator activity
DDX3X,response to virus
DDX3X,ribosomal small subunit binding
DDX3X,secretory granule lumen
DDX3X,stress granule assembly
DDX3X,transcription factor binding
DDX3X,translation initiation factor binding
DDX3X,translational initiation
DDX3X,viral process
DDX53,ATP binding
DDX53,RNA binding
DDX53,RNA helicase activity
DDX53,cytosol
DDX53,intracellular membrane-bounded organelle
DDX53,nucleolus
DDX53,nucleoplasm
DEAF1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
DEAF1,"DNA-binding transcription factor activity, RNA polymerase II-specific"
DEAF1,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
DEAF1,RNA polymerase II transcription regulatory region sequence-specific DNA binding
DEAF1,anatomical structure morphogenesis
DEAF1,chromatin
DEAF1,cytoplasm
DEAF1,embryonic skeletal system development
DEAF1,extracellular region
DEAF1,fibrillar center
DEAF1,germ cell development
DEAF1,metal ion binding
DEAF1,negative regulation of transcription by RNA polymerase II
DEAF1,"negative regulation of transcription, DNA-templated"
DEAF1,neural tube closure
DEAF1,nucleoplasm
DEAF1,nucleus
DEAF1,"positive regulation of transcription, DNA-templated"
DEAF1,protein binding
DEAF1,regulation of mammary gland epithelial cell proliferation
DEAF1,regulation of transcription by RNA polymerase II
DEAF1,transcription by RNA polymerase II
DENR,IRES-dependent viral translational initiation
DENR,cellular_component
DENR,formation of translation preinitiation complex
DENR,formation of translation preinitiation complex
DENR,mRNA binding
DENR,molecular_function
DENR,protein binding
DENR,ribosome disassembly
DENR,translation initiation factor activity
DENR,translation reinitiation
DEPDC5,Cul3-RING ubiquitin ligase complex
DEPDC5,GATOR1 complex
DEPDC5,GATOR1 complex
DEPDC5,GTPase activator activity
DEPDC5,GTPase activator activity
DEPDC5,cellular response to amino acid starvation
DEPDC5,cellular response to amino acid starvation
DEPDC5,cytosol
DEPDC5,intracellular signal transduction
DEPDC5,lysosomal membrane
DEPDC5,lysosomal membrane
DEPDC5,lysosomal membrane
DEPDC5,lysosome
DEPDC5,negative regulation of TOR signaling
DEPDC5,negative regulation of TOR signaling
DEPDC5,negative regulation of TORC1 signaling
DEPDC5,perinuclear region of cytoplasm
DEPDC5,positive regulation of GTPase activity
DEPDC5,protein-containing complex binding
DEPDC5,regulation of autophagy
DHCR7,7-dehydrocholesterol reductase activity
DHCR7,7-dehydrocholesterol reductase activity
DHCR7,7-dehydrocholesterol reductase activity
DHCR7,NADP binding
DHCR7,blood vessel development
DHCR7,brassinosteroid biosynthetic process
DHCR7,cell differentiation
DHCR7,cholesterol biosynthetic process
DHCR7,cholesterol biosynthetic process
DHCR7,cholesterol biosynthetic process via desmosterol
DHCR7,cholesterol biosynthetic process via lathosterol
DHCR7,cytosol
DHCR7,endoplasmic reticulum
DHCR7,endoplasmic reticulum membrane
DHCR7,integral component of endoplasmic reticulum membrane
DHCR7,lung development
DHCR7,membrane
DHCR7,multicellular organism growth
DHCR7,nuclear outer membrane
DHCR7,oxidation-reduction process
DHCR7,"oxidoreductase activity, acting on the CH-CH group of donors"
DHCR7,post-embryonic development
DHCR7,protein binding
DHCR7,regulation of cell population proliferation
DHCR7,regulation of cholesterol biosynthetic process
DHCR7,sterol biosynthetic process
DHCR7,sterol delta7 reductase activity
DHX30,ATP binding
DHX30,RNA binding
DHX30,RNA binding
DHX30,RNA binding
DHX30,RNA helicase activity
DHX30,central nervous system development
DHX30,chromatin binding
DHX30,cytoplasm
DHX30,cytosol
DHX30,double-stranded RNA binding
DHX30,intracellular anatomical structure
DHX30,mitochondrial large ribosomal subunit assembly
DHX30,mitochondrial nucleoid
DHX30,mitochondrion
DHX30,protein binding
DHX30,ribonucleoprotein granule
DIP2A,cell surface
DIP2A,cell surface
DIP2A,membrane
DIP2A,multicellular organism development
DIP2A,negative regulation of gene expression
DIP2A,nucleus
DIP2A,protein binding
DIP2C,biological_process
DIP2C,cellular_component
DIP2C,molecular_function
DIPK2A,COPI vesicle coat
DIPK2A,COPI vesicle coat
DIPK2A,Golgi membrane
DIPK2A,cardiac muscle cell proliferation
DIPK2A,cardiac muscle cell proliferation
DIPK2A,extracellular space
DIPK2A,extracellular space
DIPK2A,negative regulation of smooth muscle cell apoptotic process
DIPK2A,positive regulation of protein kinase C activity
DIPK2A,regulation of phosphatidylinositol 3-kinase signaling
DIPK2A,regulation of phosphatidylinositol 3-kinase signaling
DISC1,TOR signaling
DISC1,canonical Wnt signaling pathway
DISC1,cell body
DISC1,cell proliferation in forebrain
DISC1,central region of growth cone
DISC1,centrosome
DISC1,centrosome
DISC1,ciliary basal body
DISC1,ciliary base
DISC1,cilium assembly
DISC1,cytosol
DISC1,dynein complex
DISC1,endoplasmic reticulum
DISC1,intermediate filament cytoskeleton
DISC1,intermediate filament cytoskeleton
DISC1,kinesin binding
DISC1,kinesin complex
DISC1,microtubule
DISC1,microtubule cytoskeleton organization
DISC1,mitochondrial calcium ion homeostasis
DISC1,mitochondrion
DISC1,mitochondrion
DISC1,molecular adaptor activity
DISC1,negative regulation of protein binding
DISC1,neuron migration
DISC1,neuron migration
DISC1,non-motile cilium assembly
DISC1,nucleus
DISC1,perinuclear region of cytoplasm
DISC1,positive regulation of Wnt signaling pathway
DISC1,positive regulation of axon extension
DISC1,positive regulation of cell-matrix adhesion
DISC1,positive regulation of neuroblast proliferation
DISC1,positive regulation of ubiquitin-dependent protein catabolic process
DISC1,postsynaptic density
DISC1,protein binding
DISC1,protein localization to centrosome
DISC1,protein-containing complex binding
DISC1,pyramidal neuron migration
DISC1,regulation of dendritic spine development
DISC1,regulation of neuron projection development
DISC1,regulation of synapse maturation
DISC1,"regulation of synaptic transmission, glutamatergic"
DISC1,response to electrical stimulus
DISC1,synaptic vesicle
DIXDC1,actin binding
DIXDC1,canonical Wnt signaling pathway
DIXDC1,canonical Wnt signaling pathway
DIXDC1,cerebral cortex radially oriented cell migration
DIXDC1,cytoskeleton
DIXDC1,cytosol
DIXDC1,cytosol
DIXDC1,focal adhesion
DIXDC1,forebrain ventricular zone progenitor cell division
DIXDC1,gamma-tubulin binding
DIXDC1,negative regulation of neuron differentiation
DIXDC1,positive regulation of Wnt signaling pathway
DIXDC1,protein binding
DIXDC1,protein domain specific binding
DIXDC1,regulation of actin cytoskeleton organization
DIXDC1,regulation of microtubule cytoskeleton organization
DLG1,GDP metabolic process
DLG1,GMP metabolic process
DLG1,Golgi apparatus
DLG1,L27 domain binding
DLG1,MAPK cascade
DLG1,MPP7-DLG1-LIN7 complex
DLG1,T cell activation
DLG1,T cell cytokine production
DLG1,actin filament organization
DLG1,activation of protein kinase activity
DLG1,amyloid precursor protein metabolic process
DLG1,apical plasma membrane
DLG1,astral microtubule organization
DLG1,basement membrane
DLG1,basolateral plasma membrane
DLG1,basolateral plasma membrane
DLG1,bicellular tight junction
DLG1,bicellular tight junction assembly
DLG1,branching involved in ureteric bud morphogenesis
DLG1,cadherin binding
DLG1,cell junction
DLG1,cell junction
